disciplina,serie,segmento,trimestre,semana_letiva,capitulo_esperado,conteudo_esperado,progressao_key
Língua Portuguesa,6º Ano,Fund II,1,1,1,Capítulo 1,Língua Portuguesa|6º Ano|1
Língua Portuguesa,6º Ano,Fund II,1,2,1,Capítulo 1,Língua Portuguesa|6º Ano|2
Língua Portuguesa,6º Ano,Fund II,1,3,1,Capítulo 1,Língua Portuguesa|6º Ano|3
Língua Portuguesa,6º Ano,Fund II,1,4,2,Capítulo 2,Língua Portuguesa|6º Ano|4
Língua Portuguesa,6º Ano,Fund II,1,5,2,Capítulo 2,Língua Portuguesa|6º Ano|5
Língua Portuguesa,6º Ano,Fund II,1,6,2,Capítulo 2,Língua Portuguesa|6º Ano|6
Língua Portuguesa,6º Ano,Fund II,1,7,3,Capítulo 3,Língua Portuguesa|6º Ano|7
Língua Portuguesa,6º Ano,Fund II,1,8,3,Capítulo 3,Língua Portuguesa|6º Ano|8
Língua Portuguesa,6º Ano,Fund II,1,9,3,Capítulo 3,Língua Portuguesa|6º Ano|9
Língua Portuguesa,6º Ano,Fund II,1,10,4,Capítulo 4,Língua Portuguesa|6º Ano|10
Língua Portuguesa,6º Ano,Fund II,1,11,4,Capítulo 4,Língua Portuguesa|6º Ano|11
Língua Portuguesa,6º Ano,Fund II,1,12,4,Capítulo 4,Língua Portuguesa|6º Ano|12
Língua Portuguesa,6º Ano,Fund II,1,13,4,Capítulo 4,Língua Portuguesa|6º Ano|13
Língua Portuguesa,6º Ano,Fund II,1,14,4,Capítulo 4,Língua Portuguesa|6º Ano|14
Língua Portuguesa,6º Ano,Fund II,2,15,5,Capítulo 5,Língua Portuguesa|6º Ano|15
Língua Portuguesa,6º Ano,Fund II,2,16,5,Capítulo 5,Língua Portuguesa|6º Ano|16
Língua Portuguesa,6º Ano,Fund II,2,17,5,Capítulo 5,Língua Portuguesa|6º Ano|17
Língua Portuguesa,6º Ano,Fund II,2,18,6,Capítulo 6,Língua Portuguesa|6º Ano|18
Língua Portuguesa,6º Ano,Fund II,2,19,6,Capítulo 6,Língua Portuguesa|6º Ano|19
Língua Portuguesa,6º Ano,Fund II,2,20,6,Capítulo 6,Língua Portuguesa|6º Ano|20
Língua Portuguesa,6º Ano,Fund II,2,21,7,Capítulo 7,Língua Portuguesa|6º Ano|21
Língua Portuguesa,6º Ano,Fund II,2,22,7,Capítulo 7,Língua Portuguesa|6º Ano|22
Língua Portuguesa,6º Ano,Fund II,2,23,7,Capítulo 7,Língua Portuguesa|6º Ano|23
Língua Portuguesa,6º Ano,Fund II,2,24,8,Capítulo 8,Língua Portuguesa|6º Ano|24
Língua Portuguesa,6º Ano,Fund II,2,25,8,Capítulo 8,Língua Portuguesa|6º Ano|25
Língua Portuguesa,6º Ano,Fund II,2,26,8,Capítulo 8,Língua Portuguesa|6º Ano|26
Língua Portuguesa,6º Ano,Fund II,2,27,8,Capítulo 8,Língua Portuguesa|6º Ano|27
Língua Portuguesa,6º Ano,Fund II,2,28,8,Capítulo 8,Língua Portuguesa|6º Ano|28
Língua Portuguesa,6º Ano,Fund II,3,29,9,Capítulo 9,Língua Portuguesa|6º Ano|29
Língua Portuguesa,6º Ano,Fund II,3,30,9,Capítulo 9,Língua Portuguesa|6º Ano|30
Língua Portuguesa,6º Ano,Fund II,3,31,9,Capítulo 9,Língua Portuguesa|6º Ano|31
Língua Portuguesa,6º Ano,Fund II,3,32,10,Capítulo 10,Língua Portuguesa|6º Ano|32
Língua Portuguesa,6º Ano,Fund II,3,33,10,Capítulo 10,Língua Portuguesa|6º Ano|33
Língua Portuguesa,6º Ano,Fund II,3,34,10,Capítulo 10,Língua Portuguesa|6º Ano|34
Língua Portuguesa,6º Ano,Fund II,3,35,11,Capítulo 11,Língua Portuguesa|6º Ano|35
Língua Portuguesa,6º Ano,Fund II,3,36,11,Capítulo 11,Língua Portuguesa|6º Ano|36
Língua Portuguesa,6º Ano,Fund II,3,37,11,Capítulo 11,Língua Portuguesa|6º Ano|37
Língua Portuguesa,6º Ano,Fund II,3,38,12,Capítulo 12,Língua Portuguesa|6º Ano|38
Língua Portuguesa,6º Ano,Fund II,3,39,12,Capítulo 12,Língua Portuguesa|6º Ano|39
Língua Portuguesa,6º Ano,Fund II,3,40,12,Capítulo 12,Língua Portuguesa|6º Ano|40
Língua Portuguesa,6º Ano,Fund II,3,41,12,Capítulo 12,Língua Portuguesa|6º Ano|41
Língua Portuguesa,6º Ano,Fund II,3,42,12,Capítulo 12,Língua Portuguesa|6º Ano|42
Língua Portuguesa,7º Ano,Fund II,1,1,1,Capítulo 1,Língua Portuguesa|7º Ano|1
Língua Portuguesa,7º Ano,Fund II,1,2,1,Capítulo 1,Língua Portuguesa|7º Ano|2
Língua Portuguesa,7º Ano,Fund II,1,3,1,Capítulo 1,Língua Portuguesa|7º Ano|3
Língua Portuguesa,7º Ano,Fund II,1,4,2,Capítulo 2,Língua Portuguesa|7º Ano|4
Língua Portuguesa,7º Ano,Fund II,1,5,2,Capítulo 2,Língua Portuguesa|7º Ano|5
Língua Portuguesa,7º Ano,Fund II,1,6,2,Capítulo 2,Língua Portuguesa|7º Ano|6
Língua Portuguesa,7º Ano,Fund II,1,7,3,Capítulo 3,Língua Portuguesa|7º Ano|7
Língua Portuguesa,7º Ano,Fund II,1,8,3,Capítulo 3,Língua Portuguesa|7º Ano|8
Língua Portuguesa,7º Ano,Fund II,1,9,3,Capítulo 3,Língua Portuguesa|7º Ano|9
Língua Portuguesa,7º Ano,Fund II,1,10,4,Capítulo 4,Língua Portuguesa|7º Ano|10
Língua Portuguesa,7º Ano,Fund II,1,11,4,Capítulo 4,Língua Portuguesa|7º Ano|11
Língua Portuguesa,7º Ano,Fund II,1,12,4,Capítulo 4,Língua Portuguesa|7º Ano|12
Língua Portuguesa,7º Ano,Fund II,1,13,4,Capítulo 4,Língua Portuguesa|7º Ano|13
Língua Portuguesa,7º Ano,Fund II,1,14,4,Capítulo 4,Língua Portuguesa|7º Ano|14
Língua Portuguesa,7º Ano,Fund II,2,15,5,Capítulo 5,Língua Portuguesa|7º Ano|15
Língua Portuguesa,7º Ano,Fund II,2,16,5,Capítulo 5,Língua Portuguesa|7º Ano|16
Língua Portuguesa,7º Ano,Fund II,2,17,5,Capítulo 5,Língua Portuguesa|7º Ano|17
Língua Portuguesa,7º Ano,Fund II,2,18,6,Capítulo 6,Língua Portuguesa|7º Ano|18
Língua Portuguesa,7º Ano,Fund II,2,19,6,Capítulo 6,Língua Portuguesa|7º Ano|19
Língua Portuguesa,7º Ano,Fund II,2,20,6,Capítulo 6,Língua Portuguesa|7º Ano|20
Língua Portuguesa,7º Ano,Fund II,2,21,7,Capítulo 7,Língua Portuguesa|7º Ano|21
Língua Portuguesa,7º Ano,Fund II,2,22,7,Capítulo 7,Língua Portuguesa|7º Ano|22
Língua Portuguesa,7º Ano,Fund II,2,23,7,Capítulo 7,Língua Portuguesa|7º Ano|23
Língua Portuguesa,7º Ano,Fund II,2,24,8,Capítulo 8,Língua Portuguesa|7º Ano|24
Língua Portuguesa,7º Ano,Fund II,2,25,8,Capítulo 8,Língua Portuguesa|7º Ano|25
Língua Portuguesa,7º Ano,Fund II,2,26,8,Capítulo 8,Língua Portuguesa|7º Ano|26
Língua Portuguesa,7º Ano,Fund II,2,27,8,Capítulo 8,Língua Portuguesa|7º Ano|27
Língua Portuguesa,7º Ano,Fund II,2,28,8,Capítulo 8,Língua Portuguesa|7º Ano|28
Língua Portuguesa,7º Ano,Fund II,3,29,9,Capítulo 9,Língua Portuguesa|7º Ano|29
Língua Portuguesa,7º Ano,Fund II,3,30,9,Capítulo 9,Língua Portuguesa|7º Ano|30
Língua Portuguesa,7º Ano,Fund II,3,31,9,Capítulo 9,Língua Portuguesa|7º Ano|31
Língua Portuguesa,7º Ano,Fund II,3,32,10,Capítulo 10,Língua Portuguesa|7º Ano|32
Língua Portuguesa,7º Ano,Fund II,3,33,10,Capítulo 10,Língua Portuguesa|7º Ano|33
Língua Portuguesa,7º Ano,Fund II,3,34,10,Capítulo 10,Língua Portuguesa|7º Ano|34
Língua Portuguesa,7º Ano,Fund II,3,35,11,Capítulo 11,Língua Portuguesa|7º Ano|35
Língua Portuguesa,7º Ano,Fund II,3,36,11,Capítulo 11,Língua Portuguesa|7º Ano|36
Língua Portuguesa,7º Ano,Fund II,3,37,11,Capítulo 11,Língua Portuguesa|7º Ano|37
Língua Portuguesa,7º Ano,Fund II,3,38,12,Capítulo 12,Língua Portuguesa|7º Ano|38
Língua Portuguesa,7º Ano,Fund II,3,39,12,Capítulo 12,Língua Portuguesa|7º Ano|39
Língua Portuguesa,7º Ano,Fund II,3,40,12,Capítulo 12,Língua Portuguesa|7º Ano|40
Língua Portuguesa,7º Ano,Fund II,3,41,12,Capítulo 12,Língua Portuguesa|7º Ano|41
Língua Portuguesa,7º Ano,Fund II,3,42,12,Capítulo 12,Língua Portuguesa|7º Ano|42
Língua Portuguesa,8º Ano,Fund II,1,1,1,Capítulo 1,Língua Portuguesa|8º Ano|1
Língua Portuguesa,8º Ano,Fund II,1,2,1,Capítulo 1,Língua Portuguesa|8º Ano|2
Língua Portuguesa,8º Ano,Fund II,1,3,1,Capítulo 1,Língua Portuguesa|8º Ano|3
Língua Portuguesa,8º Ano,Fund II,1,4,2,Capítulo 2,Língua Portuguesa|8º Ano|4
Língua Portuguesa,8º Ano,Fund II,1,5,2,Capítulo 2,Língua Portuguesa|8º Ano|5
Língua Portuguesa,8º Ano,Fund II,1,6,2,Capítulo 2,Língua Portuguesa|8º Ano|6
Língua Portuguesa,8º Ano,Fund II,1,7,3,Capítulo 3,Língua Portuguesa|8º Ano|7
Língua Portuguesa,8º Ano,Fund II,1,8,3,Capítulo 3,Língua Portuguesa|8º Ano|8
Língua Portuguesa,8º Ano,Fund II,1,9,3,Capítulo 3,Língua Portuguesa|8º Ano|9
Língua Portuguesa,8º Ano,Fund II,1,10,4,Capítulo 4,Língua Portuguesa|8º Ano|10
Língua Portuguesa,8º Ano,Fund II,1,11,4,Capítulo 4,Língua Portuguesa|8º Ano|11
Língua Portuguesa,8º Ano,Fund II,1,12,4,Capítulo 4,Língua Portuguesa|8º Ano|12
Língua Portuguesa,8º Ano,Fund II,1,13,4,Capítulo 4,Língua Portuguesa|8º Ano|13
Língua Portuguesa,8º Ano,Fund II,1,14,4,Capítulo 4,Língua Portuguesa|8º Ano|14
Língua Portuguesa,8º Ano,Fund II,2,15,5,Capítulo 5,Língua Portuguesa|8º Ano|15
Língua Portuguesa,8º Ano,Fund II,2,16,5,Capítulo 5,Língua Portuguesa|8º Ano|16
Língua Portuguesa,8º Ano,Fund II,2,17,5,Capítulo 5,Língua Portuguesa|8º Ano|17
Língua Portuguesa,8º Ano,Fund II,2,18,6,Capítulo 6,Língua Portuguesa|8º Ano|18
Língua Portuguesa,8º Ano,Fund II,2,19,6,Capítulo 6,Língua Portuguesa|8º Ano|19
Língua Portuguesa,8º Ano,Fund II,2,20,6,Capítulo 6,Língua Portuguesa|8º Ano|20
Língua Portuguesa,8º Ano,Fund II,2,21,7,Capítulo 7,Língua Portuguesa|8º Ano|21
Língua Portuguesa,8º Ano,Fund II,2,22,7,Capítulo 7,Língua Portuguesa|8º Ano|22
Língua Portuguesa,8º Ano,Fund II,2,23,7,Capítulo 7,Língua Portuguesa|8º Ano|23
Língua Portuguesa,8º Ano,Fund II,2,24,8,Capítulo 8,Língua Portuguesa|8º Ano|24
Língua Portuguesa,8º Ano,Fund II,2,25,8,Capítulo 8,Língua Portuguesa|8º Ano|25
Língua Portuguesa,8º Ano,Fund II,2,26,8,Capítulo 8,Língua Portuguesa|8º Ano|26
Língua Portuguesa,8º Ano,Fund II,2,27,8,Capítulo 8,Língua Portuguesa|8º Ano|27
Língua Portuguesa,8º Ano,Fund II,2,28,8,Capítulo 8,Língua Portuguesa|8º Ano|28
Língua Portuguesa,8º Ano,Fund II,3,29,9,Capítulo 9,Língua Portuguesa|8º Ano|29
Língua Portuguesa,8º Ano,Fund II,3,30,9,Capítulo 9,Língua Portuguesa|8º Ano|30
Língua Portuguesa,8º Ano,Fund II,3,31,9,Capítulo 9,Língua Portuguesa|8º Ano|31
Língua Portuguesa,8º Ano,Fund II,3,32,10,Capítulo 10,Língua Portuguesa|8º Ano|32
Língua Portuguesa,8º Ano,Fund II,3,33,10,Capítulo 10,Língua Portuguesa|8º Ano|33
Língua Portuguesa,8º Ano,Fund II,3,34,10,Capítulo 10,Língua Portuguesa|8º Ano|34
Língua Portuguesa,8º Ano,Fund II,3,35,11,Capítulo 11,Língua Portuguesa|8º Ano|35
Língua Portuguesa,8º Ano,Fund II,3,36,11,Capítulo 11,Língua Portuguesa|8º Ano|36
Língua Portuguesa,8º Ano,Fund II,3,37,11,Capítulo 11,Língua Portuguesa|8º Ano|37
Língua Portuguesa,8º Ano,Fund II,3,38,12,Capítulo 12,Língua Portuguesa|8º Ano|38
Língua Portuguesa,8º Ano,Fund II,3,39,12,Capítulo 12,Língua Portuguesa|8º Ano|39
Língua Portuguesa,8º Ano,Fund II,3,40,12,Capítulo 12,Língua Portuguesa|8º Ano|40
Língua Portuguesa,8º Ano,Fund II,3,41,12,Capítulo 12,Língua Portuguesa|8º Ano|41
Língua Portuguesa,8º Ano,Fund II,3,42,12,Capítulo 12,Língua Portuguesa|8º Ano|42
História,6º Ano,Fund II,1,1,1,Capítulo 1,História|6º Ano|1
História,6º Ano,Fund II,1,2,1,Capítulo 1,História|6º Ano|2
História,6º Ano,Fund II,1,3,1,Capítulo 1,História|6º Ano|3
História,6º Ano,Fund II,1,4,2,Capítulo 2,História|6º Ano|4
História,6º Ano,Fund II,1,5,2,Capítulo 2,História|6º Ano|5
História,6º Ano,Fund II,1,6,2,Capítulo 2,História|6º Ano|6
História,6º Ano,Fund II,1,7,3,Capítulo 3,História|6º Ano|7
História,6º Ano,Fund II,1,8,3,Capítulo 3,História|6º Ano|8
História,6º Ano,Fund II,1,9,3,Capítulo 3,História|6º Ano|9
História,6º Ano,Fund II,1,10,4,Capítulo 4,História|6º Ano|10
História,6º Ano,Fund II,1,11,4,Capítulo 4,História|6º Ano|11
História,6º Ano,Fund II,1,12,4,Capítulo 4,História|6º Ano|12
História,6º Ano,Fund II,1,13,4,Capítulo 4,História|6º Ano|13
História,6º Ano,Fund II,1,14,4,Capítulo 4,História|6º Ano|14
História,6º Ano,Fund II,2,15,5,Capítulo 5,História|6º Ano|15
História,6º Ano,Fund II,2,16,5,Capítulo 5,História|6º Ano|16
História,6º Ano,Fund II,2,17,5,Capítulo 5,História|6º Ano|17
História,6º Ano,Fund II,2,18,6,Capítulo 6,História|6º Ano|18
História,6º Ano,Fund II,2,19,6,Capítulo 6,História|6º Ano|19
História,6º Ano,Fund II,2,20,6,Capítulo 6,História|6º Ano|20
História,6º Ano,Fund II,2,21,7,Capítulo 7,História|6º Ano|21
História,6º Ano,Fund II,2,22,7,Capítulo 7,História|6º Ano|22
História,6º Ano,Fund II,2,23,7,Capítulo 7,História|6º Ano|23
História,6º Ano,Fund II,2,24,8,Capítulo 8,História|6º Ano|24
História,6º Ano,Fund II,2,25,8,Capítulo 8,História|6º Ano|25
História,6º Ano,Fund II,2,26,8,Capítulo 8,História|6º Ano|26
História,6º Ano,Fund II,2,27,8,Capítulo 8,História|6º Ano|27
História,6º Ano,Fund II,2,28,8,Capítulo 8,História|6º Ano|28
História,6º Ano,Fund II,3,29,9,Capítulo 9,História|6º Ano|29
História,6º Ano,Fund II,3,30,9,Capítulo 9,História|6º Ano|30
História,6º Ano,Fund II,3,31,9,Capítulo 9,História|6º Ano|31
História,6º Ano,Fund II,3,32,10,Capítulo 10,História|6º Ano|32
História,6º Ano,Fund II,3,33,10,Capítulo 10,História|6º Ano|33
História,6º Ano,Fund II,3,34,10,Capítulo 10,História|6º Ano|34
História,6º Ano,Fund II,3,35,11,Capítulo 11,História|6º Ano|35
História,6º Ano,Fund II,3,36,11,Capítulo 11,História|6º Ano|36
História,6º Ano,Fund II,3,37,11,Capítulo 11,História|6º Ano|37
História,6º Ano,Fund II,3,38,12,Capítulo 12,História|6º Ano|38
História,6º Ano,Fund II,3,39,12,Capítulo 12,História|6º Ano|39
História,6º Ano,Fund II,3,40,12,Capítulo 12,História|6º Ano|40
História,6º Ano,Fund II,3,41,12,Capítulo 12,História|6º Ano|41
História,6º Ano,Fund II,3,42,12,Capítulo 12,História|6º Ano|42
História,7º Ano,Fund II,1,1,1,Capítulo 1,História|7º Ano|1
História,7º Ano,Fund II,1,2,1,Capítulo 1,História|7º Ano|2
História,7º Ano,Fund II,1,3,1,Capítulo 1,História|7º Ano|3
História,7º Ano,Fund II,1,4,2,Capítulo 2,História|7º Ano|4
História,7º Ano,Fund II,1,5,2,Capítulo 2,História|7º Ano|5
História,7º Ano,Fund II,1,6,2,Capítulo 2,História|7º Ano|6
